antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Late_delivery', 'State_RJ'})","frozenset({'Negative_review', 'Speed_Slow'})",0.0163628925957911,0.17431025862460797,0.012526703331666743,0.7655555555555555,4.391913370998116,1.0,0.009674483291447713,3.521899370795511,0.7851562329714822,0.07031688523753636,0.7160623019805008,0.41870998116760827
"frozenset({'Late_delivery', 'Speed_Slow', 'State_RJ'})",frozenset({'Negative_review'}),0.016081087223308033,0.2319530930412254,0.012526703331666743,0.7789711701526286,3.3583133552531708,1.0,0.008796645410754714,3.474872067544942,0.7137086909640178,0.05319025745937391,0.7122196211653579,0.41648825007082757
"frozenset({'Late_delivery', 'State_RJ'})",frozenset({'Negative_review'}),0.0163628925957911,0.2319530930412254,0.012608517794645698,0.7705555555555555,3.3220318188152094,1.0,0.008813094245950587,3.347419933476499,0.710606989250124,0.053492228778587676,0.7012624588868243,0.4124568027033147
"frozenset({'Late_delivery', 'State_SP', 'Speed_Slow'})",frozenset({'Negative_review'}),0.02125357938275533,0.2319530930412254,0.012981228125994273,0.6107784431137725,2.633198096673873,1.0,0.008051394649966955,1.9732897455710054,0.6337020992650358,0.05403769015363657,0.4932320495535578,0.33337166394597545
"frozenset({'On_time_delivery', 'State_PE'})","frozenset({'Speed_Slow', 'Positive_review'})",0.014235716558338257,0.47324212535793825,0.01057224671605836,0.7426564495530013,1.5692948910481936,1.0,0.00383530595599717,2.0469052895520314,0.3680100228239314,0.022168426670733102,0.5114576111047855,0.38249824340920585
"frozenset({'On_time_delivery', 'State_BA'})","frozenset({'Speed_Slow', 'Positive_review'})",0.028871414935684743,0.47324212535793825,0.020571792191264034,0.7125314861460957,1.5056383359938006,1.0,0.006908622425009664,1.8324019823255076,0.34581401616114554,0.04272068262478291,0.45426821753876473,0.3780006976438233
frozenset({'State_PE'}),"frozenset({'On_time_delivery', 'Speed_Slow', 'Positive_review'})",0.015817462842598065,0.44927957820099085,0.01057224671605836,0.6683908045977011,1.4876946049363677,1.0,0.0034657836819260565,1.660751358631327,0.3330876330128309,0.023260000000000003,0.3978629041591579,0.34596117936620785
"frozenset({'On_time_delivery', 'State_GO'})","frozenset({'Speed_Slow', 'Positive_review'})",0.018971864915231125,0.47324212535793825,0.013281214490250444,0.7000479156684236,1.4792595125358716,1.0,0.004302928815762766,1.7561400708913468,0.33025158313790093,0.027730853184018224,0.43056933978367684,0.3640561136574124
frozenset({'State_PE'}),"frozenset({'Speed_Slow', 'Positive_review'})",0.015817462842598065,0.47324212535793825,0.01101768101449934,0.696551724137931,1.4718717688352274,1.0,0.003532191281098017,1.735906632343158,0.3257454549777704,0.023047521250499175,0.4239321508610275,0.35991650057527563
"frozenset({'On_time_delivery', 'State_ES'})","frozenset({'Speed_Slow', 'Positive_review'})",0.017653743011681287,0.47324212535793825,0.012144902504431617,0.6879505664263645,1.4536968066949467,1.0,0.0037904076410607158,1.6880590636219206,0.31770737140970284,0.025367891388968007,0.4076036665124811,0.35680687813432943
