antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Late_delivery'}),"frozenset({'Negative_review', 'Speed_Slow'})",0.07781464478887323,0.17431025862460797,0.05031589473205764,0.6466121495327103,3.709547301660798,1.0,0.03675200387412714,2.3364972516275557,0.7920591268278168,0.24932432432432433,0.5720089123565539,0.46763462756948426
"frozenset({'Late_delivery', 'Speed_Slow'})",frozenset({'Negative_review'}),0.07427844188900505,0.2319530930412254,0.05031589473205764,0.6773956676049443,2.9203993735257052,1.0,0.03308678038961999,2.3807705905766867,0.7103443514418908,0.19661125319693096,0.5799679297290996,0.4471591913820301
frozenset({'Late_delivery'}),frozenset({'Negative_review'}),0.07781464478887323,0.2319530930412254,0.05116131084950684,0.6574766355140187,2.834524113878336,1.0,0.03311196330682342,2.242319755650447,0.7018188806430798,0.19783464566929135,0.5540332740323548,0.43902206129047855
"frozenset({'Speed_Normal', 'Expensive'})","frozenset({'On_time_delivery', 'Positive_review'})",0.07679650924957956,0.7413935730194082,0.06518794600245444,0.8488399621212122,1.1449248995566774,1.0,0.00825150761449061,1.7108121340109943,0.1371098228445329,0.08657073182509598,0.415482284629638,0.46838309888004526
frozenset({'Speed_Fast'}),"frozenset({'On_time_delivery', 'Positive_review'})",0.09016862869869552,0.7413935730194082,0.07648743238943684,0.8482709950599858,1.1441574703774506,1.0,0.009636990584250618,1.7043967768906902,0.13848108097917647,0.1012978257205461,0.4132821573247237,0.4757190525896444
"frozenset({'Speed_Fast', 'Cheap'})","frozenset({'On_time_delivery', 'Positive_review'})",0.040343620744511616,0.7413935730194082,0.034152993045770644,0.8465525011266335,1.1418395464084667,1.0,0.004242491913457259,1.6853088442582458,0.12944238279469536,0.045684476762567185,0.40663694763903674,0.4463092213690109
"frozenset({'Light', 'Speed_Fast'})","frozenset({'On_time_delivery', 'Positive_review'})",0.04226171537657379,0.7413935730194082,0.03568019635471115,0.8442675844267584,1.138757625033603,1.0,0.004347632189743836,1.660581877117087,0.1272268315396774,0.04770238572696005,0.3978014491305385,0.44619671752941586
"frozenset({'Speed_Fast', 'Medium'})","frozenset({'On_time_delivery', 'Positive_review'})",0.04300713603927094,0.7413935730194082,0.03625289759556384,0.8429507503699007,1.136981464429061,1.0,0.004367683342076996,1.6466581508010503,0.12589246023306544,0.048456865127582016,0.39270940995644443,0.44592453344236543
"frozenset({'Speed_Normal', 'Heavy', 'Expensive'})","frozenset({'On_time_delivery', 'Positive_review'})",0.040634516612881234,0.7413935730194082,0.03410754056633789,0.8393736017897091,1.132156566142415,1.0,0.0039813711067973705,1.6099870871911486,0.1216741068429585,0.045603160133697966,0.37887700593633816,0.4426891182925028
"frozenset({'Heavy', 'Speed_Normal'})","frozenset({'On_time_delivery', 'Positive_review'})",0.07842370801327213,0.7413935730194082,0.06479705467933276,0.8262431899849311,1.1144461188407169,1.0,0.006654221585942144,1.4883239796941732,0.11143219859073729,0.08582161433249856,0.3281032801705688,0.4568210935027099
"frozenset({'On_time_delivery', 'Speed_Normal', 'Expensive'})",frozenset({'Positive_review'}),0.07624198900049997,0.7680469069587746,0.06518794600245444,0.8550137116966735,1.1132311112120223,1.0,0.006630522170235513,1.599827788928255,0.11010884743859829,0.0836707309958579,0.3749327228089264,0.46994433291635745
"frozenset({'Speed_Normal', 'Expensive'})",frozenset({'Positive_review'}),0.07679650924957956,0.7680469069587746,0.06563338030089541,0.8546401515151515,1.112744734431988,1.0,0.006650058906524897,1.5957163925181364,0.10974968494010844,0.08423066602890907,0.3733222239937387,0.4700475314026893
"frozenset({'Light', 'Speed_Normal'})","frozenset({'On_time_delivery', 'Positive_review'})",0.10179537293759375,0.7413935730194082,0.08395072951229489,0.8247008394356135,1.1123657790516406,1.0,0.008480294253249088,1.4752291234481232,0.11246338718036648,0.11057231800766282,0.32213919579986844,0.4689672643785961
frozenset({'Speed_Fast'}),frozenset({'Positive_review'}),0.09016862869869552,0.7680469069587746,0.07698740966319713,0.8538159088617804,1.111671567355989,1.0,0.0077336732864498325,1.5867191240523542,0.11040918554287014,0.09854664354949441,0.36976873547343425,0.4770269048267997
frozenset({'Speed_Normal'}),"frozenset({'On_time_delivery', 'Positive_review'})",0.26152447616017455,0.7413935730194082,0.215535657470115,0.8241509958636032,1.111624143850015,1.0,0.021643091657694152,1.470616386203725,0.1359765645450917,0.2737369539115175,0.3200130167314281,0.5574339588854904
"frozenset({'On_time_delivery', 'Speed_Fast'})",frozenset({'Positive_review'}),0.08960501795372938,0.7680469069587746,0.07648743238943684,0.8536065740083189,1.111399012578976,1.0,0.007666575502089518,1.5844501996585978,0.11009851960576818,0.09791463017269468,0.36886624760092146,0.47659675124210754
"frozenset({'Light', 'Speed_Fast'})",frozenset({'Positive_review'}),0.04226171537657379,0.7680469069587746,0.03597109222308077,0.8511507851150786,1.1082015660806048,1.0,0.0035121124453311864,1.5583091467466144,0.10194547150883738,0.04645402143670538,0.3582788100244637,0.4489926421403252
"frozenset({'Light', 'On_time_delivery', 'Speed_Fast'})",frozenset({'Positive_review'}),0.04192536702877142,0.7680469069587746,0.03568019635471115,0.8510407632263659,1.1080583171621912,1.0,0.003479547885151868,1.5571581733713693,0.10178792014190616,0.0460810556964403,0.3578044818434072,0.4487482574313368
"frozenset({'On_time_delivery', 'Speed_Fast', 'Cheap'})",frozenset({'Positive_review'}),0.0401436298350075,0.7680469069587746,0.034152993045770644,0.8507699275362318,1.107705688061442,1.0,0.0033208023168951467,1.5543321075418068,0.10129966338387683,0.04412317376802743,0.3566368505495837,0.44761862732195135
"frozenset({'Speed_Fast', 'Cheap'})",frozenset({'Positive_review'}),0.040343620744511616,0.7680469069587746,0.03431662197172856,0.8506083821541234,1.1074953553582636,1.0,0.0033308288433885544,1.5526513226500112,0.10114211513895593,0.04433248778654641,0.35594039343409384,0.44764437737350266
"frozenset({'Medium', 'Speed_Normal'})","frozenset({'On_time_delivery', 'Positive_review'})",0.13518476432889415,0.7413935730194082,0.11077678287350574,0.8194472463183377,1.1052796734952086,1.0,0.010551667429920267,1.432303976025467,0.11014099969612415,0.14465468531136488,0.3018241820602057,0.48443210924865227
"frozenset({'Speed_Fast', 'Medium'})",frozenset({'Positive_review'}),0.04300713603927094,0.7680469069587746,0.03650743148038726,0.8488691608539422,1.1052308825969996,1.0,0.0034759336682699676,1.5347833331161365,0.09949047446818168,0.047133937373832216,0.34844223388218776,0.44820098788829743
"frozenset({'On_time_delivery', 'Speed_Fast', 'Medium'})",frozenset({'Positive_review'}),0.042725330666787874,0.7680469069587746,0.03625289759556384,0.8485106382978724,1.1047640848626146,1.0,0.0034378395281465315,1.5311510355249436,0.09906182152173242,0.04680696235959672,0.3468965655258447,0.4478560245662095
"frozenset({'Light', 'Cheap', 'Speed_Normal'})","frozenset({'On_time_delivery', 'Positive_review'})",0.06246079723648925,0.7413935730194082,0.05101586291532203,0.8167661184689273,1.101663338060183,1.0,0.004707829278520481,1.4113461157932055,0.09842967064376346,0.0677646831530139,0.29145658261299034,0.44278844442518916
"frozenset({'On_time_delivery', 'Speed_Normal', 'Heavy', 'Expensive'})",frozenset({'Positive_review'}),0.040316349256851965,0.7680469069587746,0.03410754056633789,0.8459977452085681,1.1014922884833354,1.0,0.0031426932197430486,1.5061668633057592,0.09601155156705396,0.04405203588033625,0.33606293939757514,0.44520294650739567
"frozenset({'Speed_Normal', 'Heavy', 'Expensive'})",frozenset({'Positive_review'}),0.040634516612881234,0.7680469069587746,0.03437116494704786,0.8458612975391498,1.1013146330977308,1.0,0.003161950146759483,1.504833564432913,0.09589074155691403,0.0443893963229942,0.3354746839549371,0.4453063426468844
"frozenset({'On_time_delivery', 'Medium', 'Category_sports_leisure'})",frozenset({'Positive_review'}),0.03663469842279896,0.7680469069587746,0.03078041907186037,0.8401985111662532,1.093941663658508,1.0,0.0026432522608621292,1.4515077095592217,0.08914009324993488,0.03977306097518001,0.3110611859556232,0.4401373670532588
"frozenset({'Cheap', 'Speed_Normal'})","frozenset({'On_time_delivery', 'Positive_review'})",0.09897731921276305,0.7413935730194082,0.08024180719058224,0.8107090374724467,1.0934934790043345,1.0,0.006860658851549323,1.366184753500574,0.09489195624325521,0.10556339544117295,0.2680345777262549,0.45947004530046676
