antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'On_time_delivery', 'High'})",frozenset({'Positive_review'}),0.3022044452524885,0.7680469069587746,0.2400709058679151,0.7943989892913007,1.0343105116286089,1.0,0.00796371642254895,1.128170976600219,0.047538782754397914,0.2891791861942097,0.11360953194033273,0.553486111838421
"frozenset({'On_time_delivery', 'Speed_Slow', 'High', 'Expensive'})",frozenset({'Positive_review'}),0.13080314531157675,0.7680469069587746,0.10390436798327349,0.7943568003335881,1.0342555814448786,1.0,0.003441416806237829,1.1279395254377125,0.038105294647531526,0.1307062482846949,0.11342764621007831,0.4648203417213159
"frozenset({'Speed_Slow', 'Medium', 'Positive_review'})",frozenset({'On_time_delivery'}),0.2753874823871642,0.9221853552111268,0.26235171128585066,0.9526638938403645,1.0330503390202503,1.0,0.008393408019945703,1.6438750692009283,0.044151819132687585,0.28052372204239934,0.3916812665781894,0.6185765129411789
"frozenset({'Speed_Slow', 'High', 'Positive_review'})",frozenset({'On_time_delivery'}),0.19350938593700287,0.9221853552111268,0.18425526112449434,0.9521773852586085,1.0325227785043445,1.0,0.005803739317492312,1.627151614558687,0.03905608277831526,0.19781774884592485,0.3854291197865922,0.5759901170464761
"frozenset({'Speed_Slow', 'Positive_review', 'Expensive'})",frozenset({'On_time_delivery'}),0.17001045407026955,0.9221853552111268,0.16175628380528156,0.9514490428831139,1.0317329780901665,1.0,0.004975132828885093,1.602741725596368,0.0370570545767192,0.1738493253739509,0.37606915448095196,0.5634272174837474
"frozenset({'Medium', 'Expensive'})","frozenset({'On_time_delivery', 'Positive_review'})",0.08652333984818872,0.7413935730194082,0.06608790509522294,0.7638159277159067,1.0302435245090957,1.0,0.001940057015601765,1.0949359306055482,0.03213623929318407,0.08674900065628542,0.08670455316325619,0.42647801915670147
"frozenset({'Speed_Slow', 'High', 'Medium', 'Positive_review'})",frozenset({'On_time_delivery'}),0.05640652697604654,0.9221853552111268,0.0535793827553293,0.9498791297340854,1.0300305945724093,1.0,0.0015621096396978146,1.552539777861602,0.03089789394263322,0.05792287432682102,0.35589411990631586,0.5039897891264936
frozenset({'Low'}),"frozenset({'On_time_delivery', 'Positive_review'})",0.3335575655652016,0.7413935730194082,0.25436116540157266,0.7625705175374049,1.0285637012359727,1.0,0.007063730059532314,1.0891925648759013,0.04166972612565498,0.30997352357952346,0.08188870155027504,0.5528278608752046
"frozenset({'Low', 'Cheap'})","frozenset({'On_time_delivery', 'Positive_review'})",0.16433798463706195,0.7413935730194082,0.1253124857961002,0.7625290408230999,1.0285077569766556,1.0,0.0034733601832202116,1.0890023263347632,0.03316842231570115,0.16057076295864883,0.08172831607652925,0.4657759663941143
frozenset({'Low'}),frozenset({'Positive_review'}),0.3335575655652016,0.7680469069587746,0.26336075632925776,0.7895511405445179,1.0279985940844334,1.0,0.00717289980420599,1.1021827043462415,0.040867781378813875,0.31418160523148,0.09270940647435684,0.5662239244958857
