antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Late_delivery'}),"frozenset({'Negative_review', 'Speed_Slow'})",0.07781464478887323,0.17431025862460797,0.05031589473205764,0.6466121495327103,3.709547301660798,1.0,0.03675200387412714,2.3364972516275557,0.7920591268278168,0.24932432432432433,0.5720089123565539,0.46763462756948426
"frozenset({'Late_delivery', 'Speed_Slow'})",frozenset({'Negative_review'}),0.07427844188900505,0.2319530930412254,0.05031589473205764,0.6773956676049443,2.9203993735257052,1.0,0.03308678038961999,2.3807705905766867,0.7103443514418908,0.19661125319693096,0.5799679297290996,0.4471591913820301
frozenset({'Late_delivery'}),frozenset({'Negative_review'}),0.07781464478887323,0.2319530930412254,0.05116131084950684,0.6574766355140187,2.834524113878336,1.0,0.03311196330682342,2.242319755650447,0.7018188806430798,0.19783464566929135,0.5540332740323548,0.43902206129047855
frozenset({'Speed_Fast'}),"frozenset({'On_time_delivery', 'Positive_review'})",0.09016862869869552,0.7413935730194082,0.07648743238943684,0.8482709950599858,1.1441574703774506,1.0,0.009636990584250618,1.7043967768906902,0.13848108097917647,0.1012978257205461,0.4132821573247237,0.4757190525896444
frozenset({'Speed_Fast'}),frozenset({'Positive_review'}),0.09016862869869552,0.7680469069587746,0.07698740966319713,0.8538159088617804,1.111671567355989,1.0,0.0077336732864498325,1.5867191240523542,0.11040918554287014,0.09854664354949441,0.36976873547343425,0.4770269048267997
frozenset({'Speed_Normal'}),"frozenset({'On_time_delivery', 'Positive_review'})",0.26152447616017455,0.7413935730194082,0.215535657470115,0.8241509958636032,1.111624143850015,1.0,0.021643091657694152,1.470616386203725,0.1359765645450917,0.2737369539115175,0.3200130167314281,0.5574339588854904
"frozenset({'On_time_delivery', 'Speed_Fast'})",frozenset({'Positive_review'}),0.08960501795372938,0.7680469069587746,0.07648743238943684,0.8536065740083189,1.111399012578976,1.0,0.007666575502089518,1.5844501996585978,0.11009851960576818,0.09791463017269468,0.36886624760092146,0.47659675124210754
"frozenset({'On_time_delivery', 'Speed_Normal'})",frozenset({'Positive_review'}),0.2591427662378983,0.7680469069587746,0.215535657470115,0.8317255410951696,1.0829098243342226,1.0,0.01650185740035645,1.3784212681522225,0.10334255045177401,0.2655511502363192,0.27453237765222327,0.5561768942796683
frozenset({'Speed_Normal'}),frozenset({'Positive_review'}),0.26152447616017455,0.7680469069587746,0.21743557111040407,0.8314157600194654,1.0825064881930344,1.0,0.016572506101568213,1.3758883574645384,0.10320993120850759,0.2677330169354929,0.2731968443698575,0.5572588511420694
frozenset({'On_time_delivery'}),frozenset({'Positive_review'}),0.9221853552111268,0.7680469069587746,0.7413935730194082,0.8039528808714081,1.046749714877194,1.0,0.03311196330682342,1.1831497145800034,0.5739509458381209,0.7813694587888137,0.15479842687957554,0.8846250692512896
"frozenset({'On_time_delivery', 'Speed_Slow'})",frozenset({'Positive_review'}),0.5732739420935412,0.7680469069587746,0.44927957820099085,0.7837083551369265,1.0203912652160352,1.0,0.00897830013598283,1.072408937423665,0.046830444202928236,0.5036533542581703,0.06751989366819229,0.6843360391125696
frozenset({'Speed_Slow'}),frozenset({'Positive_review'}),0.6475523839825462,0.7680469069587746,0.47324212535793825,0.7308167448128703,0.9515261869964112,1.0,-0.024108480253637155,0.8616921319269178,-0.12628751115819348,0.5021897669393424,-0.16050728902885286,0.6734898978121092
frozenset({'Speed_Slow'}),"frozenset({'On_time_delivery', 'Positive_review'})",0.6475523839825462,0.7413935730194082,0.44927957820099085,0.6938119437347334,0.9358213626119076,1.0,-0.03081159747706491,0.8445999825563008,-0.16288719516588823,0.47812669298041943,-0.1839924469017383,0.6499026490379345
